Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
144,Patrick Beverley,MIL,,DEN,W,19:42,2,5,.400,1,2,.500,0,0,,4,1,4,5,+7,3.8,beverpa01
145,Bruno Fernando,ATL,,CHI,L,11:31,2,5,.400,0,0,,0,0,,0,0,3,4,-4,3.8,fernabr01
146,Daishen Nix,MIN,@,LAC,W,2:10,2,3,.667,1,1,1.000,0,0,,0,0,0,5,+4,3.7,nixda01
147,Andre Jackson,MIL,,DEN,W,5:36,1,1,1.000,1,1,1.000,0,0,,1,0,1,3,-2,3.6,jacksan01
148,CJ McCollum,NOP,@,MEM,W,33:05,4,15,.267,3,8,.375,0,0,,2,2,1,11,+9,3.6,mccolcj01
149,T.J. McConnell,IND,@,CHO,L,14:49,4,7,.571,0,0,,0,0,,2,3,1,8,-17,3.6,mccontj01
150,Miles McBride,NYK,@,HOU,L,5:16,2,2,1.000,0,0,,0,0,,0,0,0,4,-8,3.4,mcbrimi01
151,Jordan Nwora,TOR,,SAS,L,7:28,0,2,.000,0,1,.000,3,4,.750,1,0,1,3,+5,3.4,nworajo01
152,Jericho Sims,NYK,@,HOU,L,28:44,2,3,.667,0,0,,0,0,,0,1,4,4,+7,3.4,simsje01
153,P.J. Washington,DAL,,WAS,W,35:41,4,11,.364,0,5,.000,1,2,.500,3,2,2,9,+8,3.3,washipj01
154,Peyton Watson,DEN,@,MIL,L,21:06,2,6,.333,0,2,.000,1,1,1.000,1,0,2,5,-9,3.1,watsope01
155,Mouhamadou Gueye,TOR,,SAS,L,6:18,1,3,.333,0,0,,0,0,,0,0,1,2,+4,3.0,gueyemo01
156,Kris Dunn,UTA,,GSW,L,19:29,1,6,.167,0,3,.000,0,0,,3,1,2,2,+7,2.5,dunnkr01
157,Jae'Sean Tate,HOU,,NYK,W,12:23,1,4,.250,0,0,,0,0,,0,1,2,2,+6,2.5,tateja01
158,Justin Holiday,DEN,@,MIL,L,18:53,2,6,.333,1,5,.200,0,0,,1,0,2,5,-11,2.1,holidju01
159,Maxi Kleber,DAL,,WAS,W,23:52,2,5,.400,1,3,.333,0,1,.000,0,2,1,5,+14,2.1,klebima01
